"","x"
"2135","CD4 T cells"
"2136","FCGR3A+ Monocytes"
"2137","CD8 T cells"
"2138","CD4 T cells"
"2139","CD14+ Monocytes"
"2140","CD4 T cells"
"2141","CD14+ Monocytes"
"2142","CD8 T cells"
"2143","FCGR3A+ Monocytes"
"2144","CD14+ Monocytes"
"2145","Megakaryocytes"
"2146","CD8 T cells"
"2147","CD8 T cells"
"2148","CD14+ Monocytes"
"2149","CD14+ Monocytes"
"2150","NK cells"
"2151","CD8 T cells"
"2152","CD4 T cells"
"2153","CD4 T cells"
"2154","FCGR3A+ Monocytes"
"2155","CD4 T cells"
"2156","CD14+ Monocytes"
"2157","NK cells"
"2158","CD8 T cells"
"2159","CD14+ Monocytes"
"2160","CD4 T cells"
"2161","CD14+ Monocytes"
"2162","CD4 T cells"
"2163","CD14+ Monocytes"
"2164","FCGR3A+ Monocytes"
"2165","CD4 T cells"
"2166","CD4 T cells"
"2167","CD14+ Monocytes"
"2168","CD8 T cells"
"2169","CD14+ Monocytes"
"2170","FCGR3A+ Monocytes"
"2171","CD14+ Monocytes"
"2172","FCGR3A+ Monocytes"
"2173","Megakaryocytes"
"2174","CD14+ Monocytes"
"2175","CD4 T cells"
"2176","CD4 T cells"
"2177","CD8 T cells"
"2178","CD8 T cells"
"2179","FCGR3A+ Monocytes"
"2180","CD8 T cells"
